ANGRA DOS REIS,ANGRA DOS REIS,MANGARATIRA,PARATY,,,,,,,,,,,
BARRA DO PIRAÍ,BARRA DO PIRAÍ,PIRAÍ,RIO DAS FLORES,VALENÇA,ENGENHEIRO PAULO DE FRONTIN,MENDES,MIGUEL PEREIRA,PATY DO ALFERES,VASSOURAS,,,,,
CABO FRIO,ARMAÇÂO DOS BÚZIOS,ARRAIAL DO CABO,CABO FRIO,IGUABA GRANDE,SÃO PEDRO DA ALDEIA,ARARUAMA,SAQUAREMA,,,,,,,
CAMPOS,CAMPOS DOS GOYTACAZES,SÃO FIDÉLIS,SÃO FRANCISCO DO ITABAPOANA,SÃO JOÃO DA BARRA,,,,,,,,,,
DUQUE DE CAXIAS,BELFORD ROXO,DUQUE DE CAXIAS,SÃO JOÃO DO MERITI,MAGÉ,,,,,,,,,,
ITAPERUNA,BOM JESUS DE ITABAPOANA,ITAPERUNA,SÃO JOSÉ DE UBÁ,ITALVA,CARDOSO MOREIRA,LAJE DE MURIAÉ,PORCIÚNCULA,NATIVIDADE,VARRE E SAI,CAMBUCI,ITAOCARA,MIRACEMA,SANTO ANTÔNIO DE PÁDUA,APERIBÉ
MACAÉ,CARAPEBUS,QUISSAMÃ,CASIMIRO DE ABREU,CONCEIÇÃO DE MACABU,MACAÉ,RIO DAS OSTRAS,SILVA JARDIM,,,,,,,
NITERÓI,MARICÁ,NITERÓI,,,,,,,,,,,,
NOVA FRIBURGO,NOVA FRIBURGO,CACHOEIRAS DE MACACU,CORDEIRO,MACUCO,SÃO SEBASTIÃO DO ALTO,TRAJANO DE MORAES,BOM JARDIM,CANTAGALO,DUAS BARRAS,SANTA MARIA MADALENA,,,,
NOVA IGUAÇU,ITAGUAÍ,JAPERI,NILÓPOLIS,NOVA IGUAÇU,MESQUITA,PARACAMBI,QUEIMADOS,SEROPÉDICA,,,,,,
PETRÓPOLIS,PARAÍBA DO SUL,TRÊS RIOS,AREAL,COMENDADOS LEVY GASPARIAN,PETRÓPOLIS,SÃO JOSÉ DO VALE DO RIO PRETO,,,,,,,,
RIO DE JANEIRO,RIO DE JANEIRO,,,,,,,,,,,,,
SÃO GONÇALO,ITABORAÍ,TANGUÁ,RIO BONITO,SÃO GONÇALO,,,,,,,,,,
TERESÓPOLIS,GUAPIMIRIM,CARMO,SAPUCAIA,SUMIDOURO,TERESÓPOLIS,,,,,,,,,
VOLTA REDONDA,PINHERAL,ITATIAIA,PORTO REAL,QUATIS,RESENDE,BARRA MANSA,RIO CLARO,VOLTA REDONDA,,,,,,
